NAME	X	Y
TYPE	numeric	numeric
MGH36_P1_A03	0.802058632	0.791714798
MGH36_P1_A08	0.398554128	0.450600313
MGH36_P1_F11	0.631459606	0.819613478
MGH36_P3_A02	0.612250824	0.169017851
MGH36_P3_B03	0.470132616	0.255816479
MGH36_P3_B09	0.363766348	0.450659229
MGH36_P3_E06	0.673297622	0.425266611
MGH36_P3_E07	0.53682534	0.38010461
MGH36_P3_F01	0.117995466	0.375367295
MGH36_P4_A04	0.416293519	0.429367034
MGH36_P4_D05	0.505715913	0.179063136
MGH36_P4_E01	1.22662495	0.498707274
MGH36_P4_E06	0.431434238	0.535156489
MGH36_P4_E10	0.336267914	0.413784042
MGH36_P4_G01	0.32642585	0.186034982
MGH36_P4_G08	0.565750607	0.409701631
MGH36_P4_H02	0.501209614	0.232006213
MGH36_P4_H03	0.155431488	0.448352853
MGH36_P4_H04	0.544295073	0.192036825
MGH36_P6_B03	0.729326074	0.33870933
MGH36_P6_B12	0.515258344	0.340298328
MGH36_P6_D01	0.539079502	0.22960646
MGH36_P6_D02	0.369323324	0.296160903
MGH36_P6_D05	0.406927693	0.270190922
MGH36_P6_E11	1.104618912	0.439605072
MGH36_P6_G06	0.266181557	0.197323473
MGH36_P7_A01	0.330458678	0.446724608
MGH36_P7_A02	1.062240882	0.607552616
MGH36_P7_A07	0.205181229	0.045797224
MGH36_P7_A08	0.148015762	0.213991608
MGH36_P7_B01	0.325285285	0.320786689
MGH36_P7_B12	0.188920798	0.192275697
MGH36_P7_C11	0.388055007	0.315060884
MGH36_P7_D11	0.226290343	0.269631872
MGH36_P7_E01	0.487325752	0.397467937
MGH36_P7_E03	0.751527219	0.148808171
MGH36_P7_E05	0.230331136	0.498983935
MGH36_P7_E08	0.594283866	0.269201696
MGH36_P7_G02	1.774873202	4.180535911
MGH36_P7_G09	0.596158708	0.480773302
MGH36_P7_H01	0.508416508	0.286025198
MGH36_P7_H08	0.526668824	0.308155365
MGH36_P7_H10	3.689362496	1.839658592
MGH36_P5_A05	0.280762344	0.360493109
MGH36_P5_B10	2.604834839	0.49716001
MGH36_P5_D12	0.172379038	0.325394843
MGH36_P5_F10	0.730592296	0.973382068
MGH36_P5_H05	0.50573721	0.379188732
MGH36_P10_D11	0.309521337	0.543922009
MGH36_P10_E05	0.657634437	0.456148212
MGH36_P10_F03	0.871897045	0.450802027
MGH36_P10_F06	0.325159732	0.248674151
MGH36_P10_F09	0.608743697	0.33238749
MGH36_P10_G01	0.600900761	0.364849876
MGH36_P10_G06	0.50053592	0.444625901
MGH36_P10_H01	0.547574003	0.241753652
MGH36_P10_H09	0.640911002	0.394194746
MGH36_P8_A08	0.746038713	0.343316224
MGH36_P8_B03	0.525530165	0.519177056
MGH36_P8_C05	0.600114097	0.618781612
MGH36_P8_E08	2.851786607	0.818465606
MGH36_P8_F04	0.402115715	0.333586337
MGH36_P8_G09	0.423012041	0.36472777
MGH36_P8_H03	0.670179585	0.662273991
MGH36_P8_H10	0.757161573	0.379107895
MGH36_P9_B01	0.736083766	0.541035418
MGH36_P9_C03	0.509421628	0.370867826
MGH36_P9_E10	0.664034545	0.572038598
MGH36_P9_E12	0.658139267	0.412817621
MGH36_P9_F08	0.257586213	0.318744695
MGH36_P9_G03	0.944765419	0.570880519
MGH36_P9_G04	0.369351388	0.52939903
MGH36_P9_H02	0.524290244	0.338037352
MGH36_P9_H06	0.478648569	0.295516037
MGH36_P9_H08	0.531805621	0.269468381
MGH36_P2_A01	0.321650072	0.433836946
MGH36_P2_A03	0.316066307	0.308026794
MGH36_P2_D09	0.635450647	0.280972027
MGH36_P2_F12	0.451872752	0.501175936
MGH36_P2_G09	0.268270015	0.274118371
MGH36_P2_H04	1.244635448	0.446362215
MGH36_P1_A01	0.72718761	0.499091155
MGH36_P1_A02	0.33525199	0.450288923
MGH36_P1_A04	0.984940038	0.593687376
MGH36_P1_A05	0.30866878	0.353274388
MGH36_P1_A06	0.679602022	0.276056223
MGH36_P1_A10	0.579596668	0.425137771
MGH36_P1_A12	0.406786247	0.512180295
MGH36_P1_B02	0.28280386	0.491856228
MGH36_P1_B03	0.766829975	0.560770262
MGH36_P1_B04	0.732525036	0.35489865
MGH36_P1_B06	0.372569361	0.458170849
MGH36_P1_B07	0.578505686	0.267972925
MGH36_P1_B08	0.348061374	0.188829942
MGH36_P1_B09	0.453370858	0.360439766
MGH36_P1_B10	0.538497076	0.413249141
MGH36_P1_B11	0.302138702	0.372305932
MGH36_P1_B12	0.732367328	0.477488848
MGH36_P1_C01	0.663417409	0.471924167
MGH36_P1_C03	0.474364377	0.374309339
MGH36_P1_C05	0.28996928	0.080510767
MGH36_P1_C06	1.722926338	0.510180425
MGH36_P1_C07	0.496321718	0.361160297
MGH36_P1_C08	0.263438827	0.684443345
MGH36_P1_C09	0.605157336	0.469737061
MGH36_P1_C10	0.82131792	0.402525628
MGH36_P1_C11	0.380492622	0.217849115
MGH36_P1_D01	0.752348543	0.754298396
MGH36_P1_D02	0.39399405	0.495683784
MGH36_P1_D03	1.283415946	0.688383191
MGH36_P1_D04	1.148129018	0.591302509
MGH36_P1_D06	0.314605971	0.129404782
MGH36_P1_D07	0.496179887	0.460563599
MGH36_P1_D08	0.672777704	0.55603374
MGH36_P1_D09	0.382736343	0.308513756
MGH36_P1_D11	0.480781064	0.411344038
MGH36_P1_F01	1.302365486	0.633152508
MGH36_P1_F02	0.810455219	0.524777691
MGH36_P1_F03	0.505102608	0.309105171
MGH36_P1_F04	0.689079417	0.422937271
MGH36_P1_F05	0.536351765	0.596339606
MGH36_P1_F06	0.449164085	0.469531213
MGH36_P1_F08	0.399409514	0.318829961
MGH36_P1_F12	1.807780864	0.757077994
MGH36_P1_G02	0.552971186	0.504839488
MGH36_P1_G03	0.505859523	0.336123318
